Q. NO,Instruction,Question,Options,Answer,Explanation,Complexity,Complexity Tag,Exclusive Tag
Q001,Fill in the blank with the correct verb form.,Each of the students ______ responsible for submitting the assignment on time.,"are 
were 
is 
be",is,"""Each"" is a singular subject, so it takes the singular verb ""is"".",Easy,DIFFICULTY_EASY,MODULE_ACCURACY_IN_SENTENCE_STRUCTURE_MODULE_GRAMMAR
Q002,Choose the correct sentence.,Identify the sentence with correct sentence structure.,"She don't understand the instructions clearly.
She doesn't understands the instructions clearly.
She doesn't understand the instructions clearly.
She not understand the instructions clearly.",She doesn't understand the instructions clearly.,"With the third-person singular subject ""she,"" the correct auxiliary is ""doesn't"" followed by the base verb ""understand"".",Easy,DIFFICULTY_EASY,MODULE_ACCURACY_IN_SENTENCE_STRUCTURE_MODULE_GRAMMAR
Q003,Choose the correct word to complete the sentence.,The manager asked the team to ______ their ideas during the meeting.,"presenting 
presented 
present 
presentation",present,"After ""to"", the base form of the verb is used, so ""present"" is correct.",Easy,DIFFICULTY_EASY,MODULE_ACCURACY_IN_SENTENCE_STRUCTURE_MODULE_VERBAL_ABILITY
Q004,Choose the correct synonym.,Select the word closest in meaning to <b>precise</b>.,"vague 
exact 
careless 
rough",exact,"""Precise"" means accurate or exact in detail, so ""exact"" is the closest synonym.",Medium,DIFFICULTY_MEDIUM,MODULE_ACCURACY_IN_SENTENCE_STRUCTURE_MODULE_VOCABULARY
Q005,Choose the correct antonym.,Select the word opposite in meaning to <b>expand</b>.,"enlarge 
extend 
contract 
develop",contract,"""Expand"" means to increase in size, while ""contract"" means to shrink or reduce.",Medium,DIFFICULTY_MEDIUM,MODULE_ACCURACY_IN_SENTENCE_STRUCTURE_MODULE_VOCABULARY
Q006,Choose the correct sentence.,Which sentence is written correctly?,"Driving through the city, the buildings looked beautiful. 
Driving through the city, I admired the beautiful buildings. 
Driving through the city, the beauty of buildings amazed.
Driving through the city, the tall buildings were seen.","Driving through the city, I admired the beautiful buildings.","This sentence clearly shows that ""I"" is the person driving and seeing the buildings, so the meaning is clear and correct.",Medium,DIFFICULTY_MEDIUM,MODULE_ACCURACY_IN_SENTENCE_STRUCTURE_MODULE_GRAMMAR
Q007,Rearrange the parts to form a meaningful sentence.,Choose the correct order of the given fragments:<br><br>(1) completed the project<br>(2) the team<br>(3) before the deadline<br>(4) successfully,"2-4-1-3 
2-1-4-3 
4-2-1-3 
2-1-3-4",2-4-1-3,"The logical sentence order is ""The team successfully completed the project before the deadline.""",Hard,DIFFICULTY_HARD,MODULE_ACCURACY_IN_SENTENCE_STRUCTURE_MODULE_VERBAL_ABILITY
Q008,Choose the correct word usage.,The scientist presented a ______ explanation of the experiment.,"clearly 
clarity 
clear 
clearing",clear,"The blank requires an adjective to describe ""explanation"", so ""clear"" is correct.",Medium,DIFFICULTY_MEDIUM,MODULE_ACCURACY_IN_SENTENCE_STRUCTURE_MODULE_VOCABULARY
Q009,Read the sentence and answer the question.,"""The interns worked late to finish the report before the client meeting.""<br>What can be inferred from the sentence?","The interns were lazy 
The interns were committed to completing the work 
The interns disliked the report 
The interns refused to attend the meeting",The interns were committed to completing the work.,Working late suggests dedication to finishing the task before the meeting.,Medium,DIFFICULTY_MEDIUM,MODULE_ACCURACY_IN_SENTENCE_STRUCTURE_MODULE_VERBAL_ABILITY
Q010,Choose the correct sentence.,Which sentence is written correctly?,"Neither of the proposals were convincing enough to gain approval.
Neither of the proposals was convincing enough to gain approval.
Neither of the proposal was convincing enough to gain approval.
Neither of proposals were convincing enough to gain approval.",Neither of the proposals was convincing enough to gain approval.,"""Neither"" is singular here, so it takes ""was"".",Medium,DIFFICULTY_MEDIUM,MODULE_ACCURACY_IN_SENTENCE_STRUCTURE_MODULE_GRAMMAR
